1000 1000
0 1315 76
4586 5328 22
470 6789 68
9347 3835 52
8310 345 6
5297 6712 1
3834 668 42
6868 5890 94
8462 5269 10
6539 4160 71
9104 7622 27
474 7361 33
6327 7564 100
3653 2470 99
7227 7534 66
726 6317 89
2727 4364 77
4777 2377 28
3593 1665 49
8977 9093 7
9047 5045 52
3190 9867 50
2661 907 95
737 5007 39
2771 9139 53
4644 9410 6
7615 7702 83
1253 158 69
8683 6296 74
7254 9995 89
2332 3063 36
5133 5911 85
4121 8415 27
4154 5373 47
2872 1783 16
5717 8024 4
5345 4985 96
7483 5546 90
6249 8421 16
2127 7147 14
909 2746 1
4143 268 71
9379 2399 19
3175 8870 66
1503 6814 39
3877 4997 15
5872 8456 60
9555 5562 15
9834 4088 15
5649 2521 49
4640 9611 13
1997 3192 63
1267 6513 63
8031 2478 48
3893 2032 3
9017 4265 15
9475 4103 14
8857 921 17
710 3653 26
1351 7832 46
3495 4523 81
9317 6517 22
6796 9090 26
8609 4713 51
6004 8176 76
4622 9514 64
4393 8247 69
7022 9872 96
8513 2893 54
5144 1034 42
5767 8766 45
7298 8693 72
8008 7066 75
190 8861 53
4633 652 72
4889 6677 69
1995 9167 87
8901 5440 14
4503 9894 22
4460 3157 52
8815 4397 47
8067 3651 22
9992 1536 64
6164 5 1
7734 7274 32
4177 6825 69
2052 8365 71
8287 945 9
7640 6296 22
2135 810 39
9522 9476 39
2692 6922 29
7769 7839 43
2821 1939 2
1918 9833 25
8198 1364 40
6010 1768 83
1577 9880 26
2336 1016 22
6347 6960 80
6963 7530 67
6334 564 60
2270 3188 70
1174 7626 53
5539 5880 33
7030 1430 17
4853 8603 82
5568 7390 32
1353 5286 32
5881 5181 44
2588 3702 40
4469 4759 39
2793 782 37
2539 6718 68
5139 7286 73
9448 4607 95
3215 4604 52
6614 4018 61
9866 1504 68
3438 5417 53
8293 149 28
6430 5461 92
2666 9701 25
8440 6940 46
8171 220 17
7070 7079 44
5824 7517 100
6957 2795 76
1711 42 50
799 1630 91
7830 7467 44
63 5848 52
668 5440 39
2158 3858 63
6591 7093 54
2803 8160 38
6861 3102 1
1038 5210 78
2207 552 8
1602 7238 30
506 4778 46
5200 4465 16
2859 8337 70
5778 6812 34
574 9869 55
16 8562 3
3775 4897 58
7390 6794 54
355 1225 98
1882 3513 62
6076 1259 56
9541 3569 84
9743 2590 26
4243 8131 90
2446 7606 70
4518 2636 67
1165 2095 12
5470 60 18
5994 4319 9
6874 3753 84
1236 9734 3
803 4942 77
9341 2501 36
7691 5000 75
6719 6817 76
363 2305 23
5626 6526 62
3715 2248 24
6530 1659 75
1597 476 67
1249 9492 49
6211 9141 2
5936 7219 50
536 4416 52
7720 653 45
9772 4677 33
4459 7433 21
1713 3725 94
9649 2549 8
1238 5263 17
5177 1051 85
3686 4239 33
7136 5768 88
7583 8366 70
3891 9353 61
3621 5395 46
4017 2404 9
4216 4724 29
1049 2164 81
5274 6688 87
2437 7116 27
